Case,Planform,Span,Wing_AR,Wing_dhl,Power,L/D,Fuse_L,Fuse_D,PropulsionN,Tail_type,Winglet,Wing_folding,Season,Mass,Sensor_Swath_width,t_mission,Aeroshell_Diameter
139,0.943196402,3.491445934,10.41522698,1.689073311,370.8947355,20.42711438,2.644220545,0.711591525,3.190763497,V-tail,no,no,summer,178.2982255,10,0.008218136,3.316310783
140,1.073323222,2.983597824,12.09860524,2.822677517,257.7726807,15.00337283,2.488503106,0.741890894,3.082714691,Conventional,no,yes,fall,158.0084722,10,0.009437096,3.027908623
141,1.292534544,2.148552777,12.67051078,1.638913812,338.1540191,23.99477186,2.379518148,0.766308742,2.083379245,V-tail,no,yes,winter,148.048991,10,0.024220044,2.573403577
142,0.753694998,3.505031958,15.78450997,2.029488799,252.3541179,19.32226616,2.392578904,0.745810391,4.043310215,V-tail,no,yes,winter,159.4244967,10,0.033307229,2.754651451
143,1.263256006,3.016212386,13.8259367,2.547007672,365.7198388,21.57770804,2.543927809,0.718979285,4.246143727,Conventional,no,yes,winter,165.8380436,10,0.008937015,3.093098712
144,0.600841853,4.400595409,13.7250202,2.557715936,382.1949508,18.79038956,2.503832196,0.80725903,4.093054996,Conventional,yes,no,summer,172.5693516,10,0.00946757,3.695803704
145,0.644032484,3.933648872,12.74054598,2.37933227,360.0306675,18.823503,2.468341528,0.746204301,3.089688926,Conventional,no,no,summer,159.9682863,10,0.009693057,2.491710757
146,0.852061119,3.454764533,11.37545616,2.167153869,333.9195429,19.6685438,2.45527641,0.771998254,1.514944696,V-tail,yes,yes,summer,168.33199,10,0.009395203,3.142301472
147,0.852714982,2.957752071,13.27856557,2.313033734,340.0379576,22.7587792,2.568727452,0.70687374,4.055055914,Conventional,no,no,spring,165.9329731,10,0.010429496,3.029786923
148,0.812954096,3.079018271,14.80193927,2.43652274,429.5349811,17.24135293,2.269764688,0.766214612,4.20203611,Conventional,yes,yes,winter,104.9005178,10,0.088500119,3.159306606
149,0.895034962,3.502292269,11.13978883,2.392018864,332.0276946,18.78321659,2.4237636,0.808761944,3.534542748,Conventional,yes,no,spring,170.2649133,10,0.029502413,2.786266275
150,0.99737587,3.38894856,14.16140135,2.118775013,422.7302597,21.46853669,2.611623071,0.75464105,2.646124605,V-tail,no,yes,spring,176.5697531,10,0.028222685,3.584201966
